name,rating,total_reviews,category,review,address,lat,lon,geocode_confidence,found_address
Quán Ăn Long Ký,4.1,619,Nhà hàng,"Món ăn chế biến kiểu người hoa rất ngon, thích nhất sườn chua ngọt ở đây.",124 Đ. Số 1,10.7485583,106.7065251,1.0,"124, Road No. 1, Ho Chi Minh City, HC 72911, Vietnam"
Thai House Restaurant,4.1,818,Món ăn Thái Lan,"Mình gọi 8 món bao gồm nước uống 1, 12 triệu.",47 Hậu Giang,10.8079991,106.6620656,0.75,"47, Hau Giang, Ho Chi Minh City, 72106, Vietnam"
Bún mắm nêm Đà Nẵng quán 168,4.4,338,Quán ăn nhỏ,"- Điểm trừ là quán hơi nhỏ, chưa được sạch sẽ lắm, nhân viên nhà làm.",168 Bàu Cát 1,10.794047,106.643462,0.5,"168, Bàu Cát 1, Ho Chi Minh City, HC, Vietnam"
quán nhậu 1976,3.9,25,Quán bia,"Đồ ăn ngon lắm bay có bia hơi hanoi nữa đúng bài lun, bài j hẻm bit hoy.",Lô B Khu Bàu Cát 2 Đường Số 1,10.7898232,106.7764953,0.7290000000000001,"số 1, Đường số 63, Khu phố 18, Ho Chi Minh City, 08408, Vietnam"
Yuhua - Taiwanese Hotpot Paradise ( Hoàng Hoa Thám ),4.4,1428,Món lẩu,"Nhân viên quá là nhiệt tình, 10điểmmmmmm, đồ ăn ngon chất lượng.",63B Hoàng Hoa Thám,10.802931,106.647565,0.5,"63b, Hoàng Hoa Thám, Ho Chi Minh City, HC, Vietnam"
1357 SÌ PHỐ | QUÁN NHẬU NGON TÂN BÌNH,5.0,2,Quán ăn nhỏ,,1357 Hoàng Sa,10.786268,106.682279,0.5,"1357, Hoàng Sa, Ho Chi Minh City, HC, Vietnam"
Nhà hàng Hoa Viên Pilser Original,4.1,1664,Nhà hàng,Hoa Viên nổi tiếng với món bia đen thơm ngon đúng chất lượng.,16 Đ. Phổ Quang,10.806277,106.668693,0.405,"16, Hẻm 66 Đường Phổ Quang, Ho Chi Minh City, HC, Vietnam"
Nhà Hàng Cơm Niêu Trường Sơn,3.9,205,Nhà hàng,"Quán ăn ngon, phục vụ thân thiện, chú bảo vệ rất dễ thương và lịch sự.",7 Trường Sơn,10.776665,106.703156,0.81,"7, Công trường Lam Sơn, Ho Chi Minh City, HC 71006, Vietnam"
Nem Nướng Nha Trang BÉ THẢO,3.5,867,Quán ăn nhỏ,"Nem nướng ngon, nước chấm vừa vị, rau tươi được cho rất nhiều.",Hoàng Sa,10.791464117944694,106.66209003825465,1.0,"Hoàng Sa, Ho Chi Minh City, 72117, Vietnam"
Nhà hàng lẩu băng chuyền & buffet dimsum Xie Xìe,4.5,1810,Món ăn Thượng Hải,. . . chung quán lẩu thuộc phân khúc trung bình có vừa đủ các món ăn.,504 Cộng Hòa,10.8025345,106.6395717,1.0,"504, Đường Cộng Hòa, Ho Chi Minh City, HC, Vietnam"
