ten_quan,diem_trung_binh,dia_chi,gio_mo_cua,gia_ca,lat,lon,url_anh,diem_Không gian,diem_Vị trí,diem_Chất lượng,diem_Phục vụ,diem_Giá cả,thuc_don,url_goc
K Coffee - 246 Võ Văn Kiệt,_._,"246-248 Võ Văn Kiệt, P. Cầu Ông Lãnh, Quận 1, TP. HCM",Đang mở cửa  07:00 - 22:00,Đang cập nhật,10.7631717000000,106.6971118000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-mbw4phzhlvn616,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/k-coffee-246-vo-van-kiet
Ăn Vặt Nhà Tôi - Võ Văn Kiệt,_._,"906/8 Võ Văn Kiệt. P. 5, Quận 5, TP. HCM",Đang mở cửa  10:30 - 21:30,10.000đ - 100.000đ,10.7520660000000,106.6770640000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv8xuu4ign860,--,--,--,--,--,Mì Cay Cá Viên (32.000đ) | Mì cay bò (38.000đ) | Mì Cay Sò Điệp (35.000đ) | Mì Cay Thanh Cua (35.000đ) | Mì Cay Xúc Xích (35.000đ) | Combo 2 - Phần 80k (80.000đ) | Combo 3 - Phần 100k (100.000đ) | Combo 1 - Phần 50k (50.000đ) | Xúc Xích Đức (12.000đ) | Tôm Viên (12.000đ) | Đậu Hủ Phô Mai (15.000đ) | Cá Viên (12.000đ) | Sò Điệp (15.000đ) | Bánh Gạo Nhân Phô Mai Lắc Phô Mai (25.000đ) | Xúc Xích Phô Mai (15.000đ) | Bò Viên (12.000đ),https://www.foody.vn/ho-chi-minh/an-vat-nha-toi-vo-van-kiet
Quán Phở 114,_._,"114 Lê Sao, Quận Tân Phú, TP. HCM",Đang mở cửa  07:30 - 21:00,20.000đ - 50.000đ,10.7820700000000,106.6261960000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwevkhqbis4bc4,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/quan-pho-114
Ăn Vặt Phú Nhuận,_._,"28/6D Phan Tây Hồ, P. 7, Quận Phú Nhuận, TP. HCM",Đang mở cửa  09:00 - 23:00,Đang cập nhật,10.8022385000000,106.6862203000000,https://down-vn.img.susercontent.com/vn-11134259-7ras8-m1m7j5k2kvv77d,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/an-vat-phu-nhuan
Cơm Gà ChiCha - Quận 4,_._,"66/5 Tôn Thất Thuyết, P. 16, Quận 4, TP. HCM",Đang mở cửa  06:00 - 22:00,35.000đ - 40.000đ,10.7534581000000,106.7139561000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-maywkvjtvvfb93,--,--,--,--,--,Combo 1 Cơm Gà góc tư (sốt tự chọn) + 1 canh rong biển (74.000đ) | Combo 1 Cơm Gà góc tư (sốt tự chọn) + 1 canh rong biển (74.000đ) | Cơm Gà cánh (57.000đ) | Cơm Gà góc tư (65.000đ) | Cơm chiên Dương Châu (45.000đ) | Cơm chiên Bò xào (59.000đ) | Cơm chiên Hải sản (65.000đ) | Cơm chiên Hải sản phủ trứng (99.000đ) | Cơm chiên Ghẹ (69.000đ) | Cơm chiên Tôm phủ trứng (69.000đ) | Cơm chiên Ghẹ phủ trứng (79.000đ) | Cơm chiên Gà đùi tỏi (57.000đ) | Canh rong biển thịt bằm (15.000đ) | Canh rong biển Tôm (20.000đ),https://www.foody.vn/ho-chi-minh/com-ga-chicha-quan-4
Legend Coffee - Bàu Cát 8,_._,"57 Bàu Cát 8, P. 14, Quận Tân Bình, TP. HCM",Chưa mở cửa  07:00 - 20:00,17.000đ - 25.000đ,10.7880290000000,106.6425050000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9d3qg54jq357,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/legend-coffee-bau-cat-8
Ăn Vặt Online - Quận 8,_._,"121/1A Hưng Phú, P. 8, Quận 8, TP. HCM",Đang mở cửa  10:00 - 22:00,Đang cập nhật,10.7496290000000,106.6800026000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lv09fjl6du619d,--,--,--,--,--,Sò huyết bơ tỏi (49.000đ) | Móng tay cháy tỏi (49.000đ) | Sò lông nướng mỡ hành (49.000đ) | Ốc hương xào me (49.000đ) | Ốc hương bơ tỏi (49.000đ) | Sò huyết xào me (49.000đ) | Ốc hương rang muối (49.000đ) | Móng tay xào mì (49.000đ) | Sò huyết cháy tỏi (49.000đ) | Móng tay xào rau muống (49.000đ) | Hoành thánh tôm thịt - 5 viên (10.000đ) | Chả mực giã tay - 2 miếng (25.000đ) | Nem chua rán - 2 miếng (25.000đ) | Tôm cuộn khoai tây (25.000đ) | Nem cua bể (10.000đ) | Cá viên siêu ngon (10.000đ) | Tôm viên siêu ngon - 5 viên (10.000đ),https://www.foody.vn/ho-chi-minh/an-vat-online-quan-8
Chè DYDY - Chè Thốt Nốt Củ Năng - Quận 11,_._,"168/37 Lê Thị Bạch Cát, P. 11, Quận 11, TP. HCM",Chưa mở cửa  10:00 - 20:00,Đang cập nhật,10.7664650000000,106.6505810000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgbt3v5n9p70d,--,--,--,--,--,Flan siêu Trứng 125ml (18.000đ) | Thạch Viên Phô Mai Lá Dứa 8 viên (18.000đ) | Puding trứng 125ml (13.000đ) | Chè Thái đác sầu (48.000đ) | Chè Thái Sầu Dừa Nước (48.000đ) | Chè Dừa Nước dầm Củ năng (42.000đ) | Chè Khoai tím hạt đác (42.000đ) | Chè Dừa Nước Dừa Non (40.000đ) | Chè Đác Dầm Củ Năng (42.000đ) | Chè đác dừa non (40.000đ) | Chè Xoài Đác (48.000đ) | Chè Khoai tím Dừa nước (42.000đ) | Chè Thái Sầu Hạt Sen (59.000đ) | Chè Thái Sầu Thốt Nốt (57.000đ) | Chè Hạt Sen Dầm Củ Năng (49.000đ) | Chè Thốt Nốt Củ Năng (45.000đ) | Chè Khoai Tím Hạt Sen (49.000đ),https://www.foody.vn/ho-chi-minh/che-dydy-che-thot-not-cu-nang-quan-11
Ốc La Cà - Nướng Lẩu Bình Tân,_._,"254 Liên Khu 4-5, P. Bình Hưng Hòa B, Quận Bình Tân, TP. HCM",Đang mở cửa  00:01 - 01:00 | 13:00 - 23:59,Đang cập nhật,10.8007363000000,106.5835894000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvd1qmrqric55,--,--,--,--,--,Cánh gà chiên mắm (89.000đ) | Cơm chiên hải sản (89.000đ) | Bò lúc lắc (99.000đ) | Sụn gà chiên mắm (89.000đ) | Mì xào bò (89.000đ) | Mì xào hải sản (89.000đ) | Cá hồi chiên mắm (89.000đ) | Rau muống xào tỏi (60.000đ) | Cơm trứng chiên (89.000đ) | Rau nhúc xào tỏi (60.000đ) | Bông cải xào tỏi (79.000đ) | Bò xào củ hành (89.000đ) | Bò xào khổ qua (89.000đ) | Bò xào cải thìa (89.000đ) | Bạch tuộc nướng muối ớt (89.000đ) | Bạch tuột xào sa tế (89.000đ) | Bạch tuột xào chua ngọt (89.000đ),https://www.foody.vn/ho-chi-minh/oc-la-ca-nuong-lau-binh-tan
Phong Ký - Phạm Văn Đồng,_._,"44 Phạm Văn Đồng, P. 3, Quận Gò Vấp, TP. HCM",Đang mở cửa  00:01 - 00:30 | 09:00 - 23:59,Đang cập nhật,10.8144029000000,106.6804193000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lx3zf8pwudax78,--,--,--,--,--,Cơm Chiên Hải Sản khô (55.000đ) | Cơm Chiên Dương Châu (52.000đ) | Cơm Chiên Hải Sản Rau (55.000đ) | Cơm chiên Gà Xối Mỡ (52.000đ) | Cơm Chiên Bò (55.000đ) | Cơm Chiên Thập Cẩm (57.000đ) | Hủ Tiếu Áp Chảo(Thập Cẩm) (59.000đ) | Hủ Tiếu Áp Chảo ( Bò ) (57.000đ) | Hủ Tiếu Áp Chảo(Hải sản) (57.000đ) | Mì Xào Giòn Thập Cẩm (59.000đ) | Mì Xào Giòn Hải Sản (57.000đ) | Mì Xào Giòn Bò (57.000đ) | Mì Gói Xào Hải Sản (57.000đ) | Mì Gói Xào Thập Cẩm (59.000đ) | Mì Gói Xào Bò (57.000đ),https://www.foody.vn/ho-chi-minh/phong-ky-pham-van-dong
